,Weekend,Season,Weather,RoadCond,PoliceActivity,NoJourneys,Country,AvgSpeed,DangerLvl,NoAccidents,NoFatalities
61,working,winter,bad,bad,regular,medium,UK,low,low,low,low
62,working,,good,good,regular,medium,Europe,high,low,medium,low
63,working,winter,bad,bad,regular,low,,low,low,low,low
64,working,summer,good,bad,regular,low,US,low,,low,low
65,working,winter,bad,bad,regular,low,UK,low,low,low,low
66,working,winter,bad,good,regular,medium,US,high,low,medium,low
67,weekend,fall,good,good,regular,low,Europe,low,high,low,high
68,working,spring,bad,bad,regular,low,Europe,low,low,low,low
69,working,spring,good,bad,regular,low,Europe,low,low,low,
70,holiday,fall,good,good,regular,medium,UK,high,low,medium,
71,weekend,winter,bad,bad,regular,medium,UK,high,low,medium,medium
72,working,summer,good,good,regular,medium,UK,high,low,medium,
73,working,spring,good,bad,increased,medium,US,low,low,low,low
74,working,fall,good,good,regular,medium,Europe,high,high,high,low
75,working,fall,bad,bad,regular,low,US,low,low,low,low
76,working,winter,bad,bad,regular,low,US,,low,low,medium
77,working,spring,bad,bad,,medium,Europe,low,low,low,medium
78,weekend,winter,good,good,regular,medium,US,high,low,medium,medium
79,holiday,fall,good,good,regular,medium,Europe,high,low,low,
80,,winter,good,bad,regular,medium,Europe,low,low,high,high
81,holiday,winter,bad,bad,increased,low,Europe,low,low,low,low
82,weekend,spring,bad,bad,regular,,Europe,low,low,low,medium
83,working,summer,good,good,regular,medium,Europe,low,low,medium,low
84,working,,bad,bad,regular,low,US,low,low,medium,low
85,working,summer,good,good,regular,medium,UK,high,low,low,low
86,working,fall,bad,good,regular,medium,Europe,high,low,low,medium
87,weekend,winter,bad,good,regular,low,UK,high,low,low,low
88,working,winter,good,bad,increased,,Europe,low,low,low,low
89,working,winter,bad,bad,regular,medium,US,low,,low,low
90,working,winter,bad,bad,regular,low,Europe,low,low,high,high
91,working,spring,good,good,increased,medium,UK,high,high,medium,low
92,working,fall,good,good,regular,medium,Europe,high,low,low,low
93,working,fall,bad,bad,regular,low,UK,low,low,medium,low
94,,summer,bad,bad,regular,,Europe,low,low,low,low
95,working,fall,bad,bad,,medium,Europe,low,low,low,low
96,working,spring,bad,bad,regular,low,UK,low,low,high,
97,,fall,bad,bad,regular,medium,Europe,low,low,high,medium
98,weekend,summer,bad,bad,regular,low,Europe,high,high,medium,low
99,working,fall,bad,bad,regular,medium,Europe,low,high,high,high
100,working,winter,bad,bad,increased,,US,low,low,low,
101,working,summer,good,good,regular,medium,,high,low,low,high
102,weekend,spring,bad,good,regular,medium,UK,low,low,medium,low
103,weekend,fall,good,good,regular,low,UK,low,low,low,low
104,working,fall,good,,regular,low,US,low,low,low,high
105,working,winter,good,good,regular,medium,US,high,low,medium,high
106,working,summer,good,good,regular,medium,UK,high,low,medium,high
107,weekend,summer,good,bad,regular,medium,Europe,high,low,medium,low
108,working,summer,good,good,regular,medium,Europe,high,low,medium,low
109,weekend,fall,good,good,,medium,Europe,low,low,low,low
110,,winter,bad,bad,regular,low,Europe,low,high,medium,medium
111,,summer,good,good,regular,,UK,,low,low,low
112,holiday,summer,good,bad,regular,medium,Europe,high,low,high,medium
113,weekend,summer,good,good,regular,low,US,high,low,low,low
114,working,winter,bad,bad,regular,low,Europe,,low,low,
115,working,,good,good,regular,medium,Europe,high,low,low,low
116,working,spring,bad,bad,regular,low,UK,low,low,medium,medium
117,weekend,summer,good,good,regular,medium,UK,high,low,medium,high
118,working,,bad,bad,regular,medium,US,low,low,low,low
119,working,spring,good,good,regular,medium,US,low,low,medium,high
120,weekend,fall,bad,bad,regular,medium,UK,low,low,low,low
121,weekend,summer,good,good,regular,medium,US,low,low,low,medium
122,weekend,fall,good,good,regular,low,US,low,low,low,low
123,working,fall,bad,bad,regular,medium,US,low,low,low,low
124,weekend,fall,good,bad,regular,medium,US,high,low,low,low
125,working,summer,bad,good,regular,medium,Europe,high,low,low,low
126,working,fall,good,bad,regular,low,Europe,low,low,low,low
127,weekend,fall,bad,bad,regular,low,Europe,low,low,low,low
128,weekend,fall,good,good,regular,low,Europe,low,low,low,low
129,,winter,bad,bad,regular,,Europe,low,low,low,low
130,working,summer,good,good,regular,medium,Europe,high,low,low,low
131,working,fall,good,good,regular,medium,UK,low,low,high,high
132,weekend,summer,bad,bad,regular,low,Europe,high,,low,low
133,working,summer,good,good,regular,medium,US,low,low,low,low
134,working,summer,good,good,regular,medium,Europe,high,low,high,high
135,working,summer,good,good,regular,medium,Europe,high,high,medium,low
136,working,spring,good,good,increased,medium,US,low,low,low,low
137,working,summer,good,,regular,medium,Europe,low,low,medium,low
138,working,spring,good,good,regular,medium,Europe,low,low,medium,low
139,working,,good,good,increased,medium,US,low,low,low,low
140,working,,bad,good,regular,,UK,high,low,low,low
141,working,fall,bad,good,regular,medium,Europe,low,low,high,
142,weekend,winter,bad,bad,regular,,Europe,high,low,medium,low
143,working,fall,good,bad,regular,medium,Europe,low,low,medium,low
144,working,fall,good,bad,regular,low,Europe,low,low,low,low
145,working,spring,bad,bad,regular,medium,Europe,low,low,low,low
146,holiday,fall,good,good,regular,medium,Europe,high,low,low,low
147,weekend,,bad,bad,regular,low,US,low,low,low,low
148,weekend,,bad,bad,regular,medium,US,low,low,high,medium
149,,spring,good,good,regular,medium,US,high,low,low,low
150,working,summer,good,bad,regular,medium,US,low,low,low,medium
151,working,spring,bad,good,regular,medium,Europe,high,low,low,low
152,,summer,good,good,regular,low,UK,low,low,low,low
153,working,fall,bad,good,regular,medium,US,high,,low,low
154,working,fall,bad,bad,regular,medium,UK,high,high,medium,low
155,weekend,winter,,bad,regular,medium,Europe,high,low,low,low
156,working,fall,bad,bad,regular,medium,UK,low,low,low,low
157,working,spring,bad,bad,regular,low,US,low,low,low,
158,working,winter,bad,bad,regular,,UK,low,low,low,medium
159,working,spring,bad,bad,regular,medium,US,low,low,medium,low
160,working,spring,bad,bad,,medium,UK,high,low,low,medium
161,working,summer,bad,bad,increased,low,US,low,low,low,low
162,working,spring,bad,bad,regular,,Europe,low,low,low,low
163,working,spring,good,good,regular,medium,Europe,high,low,high,high
164,working,winter,bad,bad,regular,low,Europe,,low,low,low
165,working,summer,good,bad,regular,low,US,low,,,low
166,working,winter,bad,bad,regular,low,US,high,high,low,low
167,working,spring,bad,bad,regular,low,UK,low,low,low,low
168,working,winter,bad,bad,regular,medium,US,low,low,medium,low
169,working,fall,good,good,regular,low,UK,low,low,medium,medium
170,weekend,spring,bad,bad,increased,low,Europe,low,low,low,low
171,working,fall,good,bad,regular,,Europe,low,low,low,low
172,working,summer,good,good,,medium,UK,low,low,low,low
173,working,spring,bad,bad,regular,low,,low,low,high,medium
174,holiday,spring,bad,bad,regular,medium,Europe,low,low,low,low
175,working,spring,good,,regular,,US,high,low,high,low
176,working,fall,bad,bad,regular,medium,US,low,low,medium,high
177,,spring,good,good,regular,low,Europe,high,low,low,low
178,working,summer,good,,regular,medium,Europe,high,low,medium,medium
179,working,spring,bad,bad,regular,medium,Europe,low,low,medium,high
180,working,fall,good,good,regular,medium,US,high,low,medium,low
181,working,winter,good,good,regular,,,low,low,low,medium
182,weekend,,good,good,regular,medium,UK,high,low,medium,low
183,working,fall,bad,bad,regular,medium,US,low,low,low,low
184,working,summer,good,good,increased,,Europe,high,low,medium,
185,,summer,,good,,medium,Europe,low,low,medium,
186,working,winter,good,good,regular,medium,Europe,low,low,low,medium
187,working,summer,good,good,regular,medium,Europe,,low,low,
188,holiday,fall,bad,bad,,low,,high,low,medium,
189,weekend,spring,bad,bad,,low,US,low,low,low,medium
190,weekend,summer,good,good,regular,medium,Europe,high,low,high,low
191,weekend,spring,good,good,,medium,Europe,,low,low,low
192,weekend,,bad,good,regular,low,US,high,low,medium,medium
193,weekend,winter,bad,bad,,low,Europe,low,low,low,low
194,,summer,,good,regular,medium,Europe,,low,low,low
195,working,winter,,bad,regular,medium,UK,high,low,medium,medium
196,weekend,fall,good,good,regular,medium,Europe,low,low,medium,low
197,weekend,spring,good,good,regular,low,Europe,low,low,low,low
198,working,summer,good,good,regular,medium,US,low,low,medium,medium
199,weekend,fall,good,bad,,medium,Europe,low,low,low,low
200,,fall,good,good,regular,medium,Europe,,low,high,medium
201,working,summer,good,good,regular,medium,UK,high,low,medium,high
202,working,,good,bad,regular,,US,low,low,high,medium
203,weekend,spring,good,good,regular,medium,UK,low,low,low,low
204,working,winter,,bad,regular,medium,US,low,low,low,
205,weekend,winter,good,good,increased,medium,Europe,high,low,,low
206,weekend,spring,good,good,regular,medium,UK,high,low,high,low
207,working,winter,bad,bad,regular,medium,Europe,high,low,low,medium
208,,summer,bad,bad,regular,low,US,low,,low,low
209,weekend,winter,good,good,regular,medium,,low,low,medium,low
210,working,summer,good,good,regular,medium,US,high,low,low,low
211,working,,good,good,increased,medium,Europe,low,low,medium,high
212,working,summer,bad,bad,,medium,UK,low,low,low,low
213,weekend,winter,bad,,regular,,UK,high,low,low,low
214,working,winter,bad,bad,regular,medium,,low,low,high,medium
215,working,winter,bad,bad,regular,medium,US,high,low,,high
216,weekend,spring,good,,regular,medium,US,low,low,low,medium
217,working,winter,bad,bad,regular,low,Europe,low,low,low,low
218,working,fall,good,bad,regular,low,,low,low,high,low
219,working,summer,good,good,regular,medium,UK,,low,medium,high
220,weekend,winter,good,good,regular,medium,Europe,low,,medium,medium
221,working,spring,good,good,regular,medium,Europe,,low,low,
222,weekend,spring,bad,bad,regular,low,,high,low,low,low
223,working,fall,good,good,regular,medium,Europe,high,low,low,medium
224,working,spring,good,good,regular,low,Europe,high,low,low,low
225,working,winter,bad,bad,regular,low,UK,low,low,low,low
226,working,winter,bad,bad,regular,medium,US,low,low,medium,medium
227,working,spring,good,good,regular,medium,Europe,high,low,medium,high
228,holiday,spring,good,good,increased,low,US,high,low,high,medium
229,holiday,winter,bad,bad,regular,medium,Europe,low,low,medium,high
230,working,winter,good,good,regular,medium,Europe,high,low,low,medium
231,weekend,winter,bad,bad,regular,low,UK,low,low,medium,high
232,weekend,,good,good,increased,medium,US,high,low,medium,high
233,weekend,winter,bad,bad,regular,low,Europe,low,low,low,low
234,working,summer,good,good,,,,low,low,medium,high
235,working,winter,bad,bad,regular,medium,US,low,,medium,high
236,working,winter,bad,bad,regular,medium,US,low,low,low,low
237,working,spring,good,good,regular,medium,Europe,low,low,medium,high
238,working,summer,,good,regular,medium,Europe,high,low,,low
239,working,fall,bad,bad,regular,,US,low,low,high,high
240,working,winter,bad,bad,regular,medium,UK,low,low,high,medium
241,,fall,good,good,regular,medium,UK,low,low,low,low
242,working,winter,good,bad,regular,medium,Europe,low,low,medium,low
243,weekend,summer,good,good,,low,US,high,low,low,low
244,weekend,winter,bad,bad,regular,low,UK,high,low,low,low
245,working,spring,good,bad,regular,medium,Europe,low,low,,high
246,working,spring,good,good,regular,medium,UK,high,low,high,low
247,working,fall,good,good,regular,low,Europe,low,low,low,low
248,working,summer,good,good,regular,medium,Europe,high,low,low,medium
249,working,fall,good,bad,regular,medium,Europe,low,high,medium,high
250,working,spring,good,good,regular,medium,Europe,high,low,low,medium
251,working,winter,good,good,increased,medium,Europe,high,low,,low
252,working,spring,bad,bad,regular,medium,Europe,low,low,medium,low
253,working,fall,good,bad,regular,medium,Europe,low,,high,low
254,weekend,summer,good,good,regular,medium,,low,low,low,low
255,working,fall,good,good,regular,medium,Europe,low,,,low
256,working,winter,bad,good,regular,low,Europe,low,low,low,low
257,weekend,summer,good,good,regular,medium,Europe,high,low,medium,medium
258,working,summer,good,,regular,medium,Europe,high,low,low,low
259,working,summer,good,good,regular,medium,US,high,low,high,medium
260,working,winter,good,good,,medium,UK,high,low,low,low
261,weekend,spring,bad,bad,regular,medium,Europe,low,low,medium,low
262,holiday,winter,,good,regular,medium,Europe,high,low,low,medium
263,weekend,fall,bad,good,regular,low,UK,low,low,low,low
264,working,summer,good,good,regular,medium,US,low,low,medium,low
265,weekend,,good,good,regular,medium,UK,high,low,,high
266,working,fall,good,good,regular,medium,US,low,,low,low
267,working,fall,good,good,regular,low,Europe,high,low,low,low
268,working,summer,good,good,regular,medium,UK,high,low,low,low
269,weekend,fall,bad,bad,regular,low,Europe,low,low,low,
270,working,summer,good,good,regular,medium,UK,high,low,low,medium
271,working,spring,good,good,regular,low,Europe,high,low,high,high
272,working,winter,bad,good,regular,,UK,high,low,high,high
273,working,winter,good,good,regular,low,Europe,high,low,high,medium
274,weekend,fall,good,good,regular,medium,Europe,high,low,low,medium
275,weekend,winter,bad,bad,regular,low,US,low,low,low,low
276,working,summer,good,good,regular,low,Europe,high,high,medium,medium
277,,winter,bad,bad,regular,low,Europe,low,high,high,high
278,holiday,spring,good,good,regular,medium,US,high,low,high,medium
279,working,summer,good,good,increased,medium,UK,low,low,medium,medium
280,weekend,summer,good,good,regular,medium,US,low,low,low,medium
281,holiday,summer,good,good,regular,medium,Europe,low,low,medium,low
282,working,fall,good,good,regular,medium,UK,high,low,high,medium
283,working,spring,bad,good,regular,,US,high,low,low,low
284,,fall,bad,bad,regular,low,US,low,low,low,low
285,,winter,bad,bad,regular,low,UK,low,low,high,medium
286,working,winter,good,bad,,low,Europe,low,low,low,low
287,working,fall,good,bad,regular,medium,US,low,low,medium,high
288,working,,bad,good,regular,medium,US,high,low,,medium
289,working,winter,bad,bad,regular,,Europe,low,low,low,low
290,working,summer,good,good,regular,medium,Europe,high,low,medium,
291,weekend,spring,good,bad,regular,low,US,low,high,,medium
292,weekend,fall,,good,regular,medium,US,high,low,medium,low
293,working,spring,good,good,regular,,,high,,high,medium
294,working,winter,bad,bad,regular,low,Europe,low,low,low,low
295,working,summer,good,good,regular,medium,Europe,high,low,medium,medium
296,working,summer,good,good,regular,medium,Europe,low,low,medium,high
297,working,spring,good,bad,regular,medium,US,low,low,low,low
298,weekend,,,bad,regular,medium,Europe,low,low,low,high
299,weekend,spring,good,good,regular,medium,UK,high,low,low,
300,weekend,winter,bad,bad,,medium,Europe,low,low,low,low
301,weekend,spring,good,good,regular,medium,US,low,,low,medium
302,weekend,fall,good,bad,regular,medium,US,low,low,low,low
303,weekend,winter,bad,bad,regular,medium,Europe,low,low,,high
304,weekend,summer,good,good,regular,medium,Europe,high,low,high,high
305,working,fall,good,good,regular,medium,Europe,high,low,medium,low
306,working,winter,good,good,regular,medium,Europe,low,low,low,low
307,working,fall,good,,regular,medium,Europe,low,low,,low
308,working,summer,bad,bad,regular,low,Europe,low,low,low,low
309,working,winter,bad,bad,regular,low,,low,low,low,low
310,weekend,spring,bad,good,regular,low,Europe,high,low,low,low
311,,summer,good,good,regular,medium,UK,low,low,low,low
312,weekend,fall,good,bad,regular,medium,US,high,high,medium,high
313,working,spring,good,good,regular,medium,US,high,low,high,high
314,working,winter,bad,bad,regular,low,Europe,high,low,low,medium
315,working,spring,bad,bad,regular,low,Europe,low,low,low,low
316,working,spring,bad,bad,regular,low,US,low,low,low,medium
317,weekend,summer,bad,bad,regular,low,US,low,low,low,medium
318,working,winter,bad,bad,increased,low,,low,low,low,low
319,weekend,winter,bad,bad,regular,,Europe,high,low,low,low
320,weekend,winter,bad,bad,regular,medium,UK,low,low,high,high
321,,fall,bad,bad,regular,low,Europe,low,low,medium,medium
322,weekend,summer,good,good,regular,medium,US,high,low,high,
323,holiday,winter,good,bad,regular,low,US,low,low,low,low
324,working,winter,good,bad,regular,medium,UK,high,low,low,medium
325,working,spring,good,good,regular,medium,,low,low,low,low
326,working,spring,good,good,regular,low,US,low,,medium,medium
327,,fall,bad,bad,regular,medium,Europe,low,low,,low
328,weekend,winter,bad,bad,regular,medium,US,low,low,low,low
329,working,summer,good,bad,regular,medium,,high,high,high,high
330,working,winter,bad,bad,regular,medium,UK,low,low,,medium
331,working,,bad,bad,regular,low,Europe,low,low,low,low
332,working,winter,good,bad,regular,low,US,low,low,,high
333,weekend,,bad,good,regular,medium,US,low,low,low,low
334,working,summer,good,good,regular,medium,US,high,low,low,
335,holiday,winter,bad,bad,regular,medium,US,high,high,low,high
336,working,winter,good,good,regular,medium,US,low,low,medium,low
337,working,spring,good,good,regular,medium,US,low,low,high,high
338,weekend,fall,,good,regular,medium,Europe,low,low,high,medium
339,weekend,fall,good,good,regular,medium,US,high,low,low,medium
340,working,summer,good,,regular,low,Europe,high,low,medium,medium
341,working,fall,bad,bad,regular,medium,,high,low,low,medium
342,working,fall,good,good,regular,medium,Europe,high,low,medium,low
343,working,fall,good,good,regular,low,Europe,,low,low,low
344,working,spring,good,good,,medium,Europe,high,low,medium,high
345,weekend,spring,good,good,regular,medium,Europe,high,low,medium,low
346,,winter,bad,bad,regular,medium,Europe,low,,medium,low
347,working,summer,bad,bad,regular,medium,US,low,low,low,medium
348,holiday,fall,good,good,regular,medium,Europe,high,low,low,medium
349,weekend,spring,bad,bad,regular,low,UK,low,low,low,low
350,weekend,summer,bad,bad,regular,low,Europe,low,low,low,low
351,working,summer,good,good,regular,medium,UK,high,high,high,high
352,working,winter,bad,bad,regular,,Europe,low,low,low,medium
353,working,spring,good,good,regular,medium,Europe,high,low,medium,low
354,weekend,spring,bad,bad,regular,low,UK,low,low,low,low
355,holiday,fall,bad,bad,regular,medium,US,low,low,high,high
356,weekend,winter,bad,good,regular,low,Europe,low,low,low,low
357,working,spring,good,good,,medium,UK,low,low,low,low
358,,summer,bad,bad,regular,low,UK,low,low,low,low
359,working,fall,bad,,regular,low,UK,high,low,low,
360,working,fall,good,good,regular,medium,Europe,high,low,medium,medium
361,working,fall,bad,bad,regular,medium,Europe,low,low,low,high
362,working,fall,bad,good,regular,medium,Europe,high,low,low,low
363,working,spring,good,good,regular,medium,US,high,,medium,low
364,working,winter,good,good,regular,medium,Europe,low,low,low,medium
365,working,summer,good,good,regular,medium,,high,low,low,low
366,working,summer,good,,regular,medium,US,low,low,medium,medium
367,working,spring,bad,bad,regular,low,US,high,low,low,low
368,,,bad,bad,increased,low,US,low,low,low,low
369,working,winter,good,,regular,medium,US,low,high,high,medium
370,,spring,bad,bad,regular,low,Europe,low,low,medium,low
371,working,summer,good,good,regular,low,Europe,high,low,low,
372,weekend,summer,good,good,regular,medium,US,low,low,low,medium
373,working,winter,bad,bad,regular,medium,Europe,low,low,medium,medium
374,working,summer,good,good,regular,medium,UK,low,low,high,medium
375,working,summer,good,good,regular,medium,UK,high,low,low,
376,working,summer,bad,bad,regular,medium,UK,low,,medium,low
377,weekend,winter,bad,bad,increased,low,Europe,low,low,low,low
378,weekend,winter,bad,bad,regular,low,,low,low,low,low
379,weekend,summer,good,good,regular,medium,UK,high,low,medium,high
380,weekend,fall,good,bad,regular,medium,Europe,low,low,low,low
381,holiday,summer,good,good,regular,medium,Europe,high,low,low,low
382,working,summer,,good,regular,medium,US,high,low,high,medium
383,working,fall,good,,regular,low,US,low,low,low,low
384,weekend,winter,bad,good,regular,medium,Europe,high,low,low,medium
385,working,spring,bad,bad,regular,medium,UK,low,low,low,low
386,weekend,spring,good,good,regular,medium,US,low,,medium,low
387,working,spring,good,bad,regular,low,Europe,low,,low,low
388,weekend,spring,bad,bad,regular,medium,Europe,high,low,high,high
389,weekend,,bad,bad,regular,medium,UK,high,high,high,high
390,working,fall,good,good,regular,medium,Europe,high,low,low,medium
391,holiday,spring,good,good,regular,medium,US,high,high,high,high
392,working,spring,good,good,regular,medium,UK,high,low,low,low
393,,summer,bad,bad,regular,medium,UK,low,low,low,medium
394,holiday,fall,good,good,regular,low,Europe,,low,low,low
395,working,fall,bad,bad,regular,low,Europe,low,low,low,low
396,working,summer,good,good,increased,medium,,low,low,medium,low
397,working,spring,good,good,,,US,low,low,medium,low
398,working,fall,good,good,regular,medium,Europe,high,low,low,low
399,working,fall,good,good,regular,medium,UK,low,low,high,high
400,working,winter,bad,bad,regular,medium,US,low,low,medium,medium
401,working,winter,bad,bad,regular,medium,US,low,,low,low
402,working,spring,bad,,regular,low,US,low,low,low,low
403,holiday,winter,bad,bad,regular,low,US,high,high,low,high
404,weekend,spring,good,good,regular,medium,Europe,low,low,low,low
405,,fall,good,good,regular,medium,Europe,high,low,medium,high
406,working,spring,bad,bad,increased,low,US,low,low,low,low
407,working,spring,bad,good,regular,low,Europe,high,low,,low
408,working,,bad,bad,regular,medium,US,low,low,low,low
409,working,fall,good,good,regular,medium,Europe,high,low,medium,
410,working,spring,good,good,regular,medium,US,high,low,medium,low
411,working,spring,good,good,regular,medium,Europe,low,low,medium,low
412,working,winter,bad,bad,regular,medium,Europe,low,high,medium,high
413,weekend,fall,bad,bad,regular,low,Europe,low,,low,low
414,working,fall,good,good,regular,medium,Europe,high,low,,high
415,weekend,summer,good,good,increased,medium,Europe,low,low,low,
416,holiday,summer,good,good,,medium,Europe,high,low,medium,high
417,working,winter,bad,bad,regular,medium,US,low,low,low,low
418,holiday,winter,good,good,regular,low,UK,high,low,low,low
419,holiday,winter,bad,bad,regular,low,Europe,high,high,high,high
420,working,spring,bad,bad,regular,medium,US,low,low,low,low
421,working,winter,bad,bad,regular,low,Europe,low,low,low,low
422,working,,,bad,regular,medium,Europe,low,low,low,medium
423,working,winter,bad,bad,regular,medium,UK,low,low,high,high
424,working,winter,bad,bad,regular,medium,US,low,low,low,medium
425,working,spring,bad,bad,regular,medium,US,low,low,low,low
426,working,spring,bad,,regular,medium,Europe,low,low,medium,high
427,working,spring,good,good,regular,,Europe,high,low,medium,high
428,working,fall,good,good,regular,medium,Europe,high,low,,low
429,weekend,spring,good,good,regular,low,,low,low,low,low
430,working,fall,,good,regular,medium,UK,low,low,low,low
431,working,spring,good,good,regular,medium,US,low,low,medium,low
432,weekend,winter,bad,bad,regular,medium,Europe,low,low,medium,low
433,working,fall,bad,bad,regular,medium,US,low,low,low,low
434,working,summer,good,good,increased,medium,UK,high,,low,low
435,working,winter,,bad,regular,medium,UK,high,high,low,high
436,weekend,winter,good,good,,medium,UK,high,low,low,medium
437,working,winter,bad,bad,increased,medium,UK,low,low,medium,low
438,working,spring,bad,bad,regular,medium,US,low,low,low,low
439,weekend,winter,good,good,regular,medium,UK,high,low,low,low
440,working,spring,bad,bad,,low,Europe,,low,low,low
441,working,spring,bad,bad,regular,low,UK,low,low,low,medium
442,working,fall,bad,bad,,medium,US,high,low,medium,high
443,working,fall,good,good,regular,medium,UK,high,,low,low
444,working,winter,bad,bad,regular,low,Europe,low,low,medium,medium
445,working,spring,bad,bad,regular,low,Europe,low,low,medium,high
446,working,fall,bad,bad,regular,low,US,high,low,medium,low
447,working,fall,bad,bad,regular,low,Europe,high,low,low,low
448,weekend,summer,good,bad,regular,medium,Europe,low,low,low,
449,working,summer,good,good,regular,medium,US,low,low,low,high
450,working,fall,good,good,regular,medium,Europe,low,low,low,low
451,weekend,fall,bad,bad,regular,low,US,low,low,low,low
452,weekend,spring,bad,bad,regular,medium,UK,low,low,medium,high
453,,,good,good,regular,medium,US,high,low,low,low
454,working,spring,good,good,regular,medium,US,high,low,low,low
455,working,winter,bad,bad,regular,low,Europe,low,low,low,low
456,weekend,spring,good,good,regular,medium,UK,low,low,,low
457,,,good,good,,medium,Europe,high,low,low,low
458,working,spring,bad,bad,regular,medium,Europe,high,low,low,low
459,working,spring,good,good,regular,medium,Europe,low,low,medium,low
460,working,winter,bad,bad,regular,low,Europe,high,low,low,low
461,weekend,summer,bad,bad,,medium,Europe,low,low,medium,medium
462,working,fall,,good,regular,low,UK,low,low,high,medium
463,working,fall,bad,bad,regular,low,Europe,low,low,low,high
464,weekend,fall,bad,,regular,medium,Europe,high,low,medium,high
465,weekend,fall,bad,bad,,low,Europe,low,low,low,medium
466,,spring,good,good,regular,medium,Europe,high,,medium,low
467,weekend,summer,good,good,regular,medium,Europe,low,low,high,high
468,holiday,winter,bad,,regular,low,Europe,low,low,low,medium
469,weekend,spring,good,good,increased,medium,US,high,low,medium,high
470,weekend,summer,,good,regular,low,UK,high,low,low,low
471,weekend,fall,good,good,regular,low,Europe,low,low,high,high
472,working,winter,good,good,regular,low,Europe,high,low,low,low
473,working,winter,bad,bad,regular,low,US,low,low,low,low
474,working,winter,bad,bad,regular,medium,US,high,low,low,low
475,weekend,fall,bad,,regular,medium,Europe,low,low,low,low
